date,retweets,favorites,text,mentions,hashtags,permalink
2018-02-15,1,20,Heading to Dallas with @ ConnorKing_ for the Bitcoin Ethereum and Blockchain super conference. This is the largest gather of minds in the crypto world to date and Yorkshyre Capital is grateful to get a firsthand insight. Stay tuned for a recap.,@,, https://twitter.com/Jackson1Markley/status/964274183608860672
2018-02-15,8,8,Bitcoin as a tool for diversifying a portfolio http://on.barrons.com/2o2ZTqf,,, https://twitter.com/barronsonline/status/964274009914396677
2018-02-15,3,5,Are you # Bitcoin ready? You could be if you owned http://BitcoinReady.com ! Get it today! # crypto # cryptocurrency # bitcoins # blockchain # fintechpic.twitter.com/MBwqsxx2cR,,# # # # # #, https://twitter.com/NameWhiz/status/964273920315715591
2018-02-15,10,26,Congrats to all members for the 25%+ gains on $ OMG and $ ENJ trades have now been closed! # bitcoin # daytrading More alerts coming out! LETS GO # GOONSQUADpic.twitter.com/n3h9eAhVIW,,# # #, https://twitter.com/Goonalerts/status/964273839260749824
2018-02-15,1,1,Bitcoin rises above $10000 . @ fundstrat sees new high by July # bitcoin # cryptocurrency https://reut.rs/2Btfkjb,@,# #, https://twitter.com/bgcoin/status/964273609559732229
2018-02-15,0,21,Bitcoin's true value is priceless so for as long as it can it will abuse the charts traders are bound to trade. In both directions. It's price action is more of a story of value than any other asset I feel it's the most technically analyzed chart hence its beautiful patterns.,,, https://twitter.com/coinjunky/status/964273457025507328
2018-02-15,19,41,By removing miners and middlemen # IOTA makes buying and selling extremely fast. The more users IOTA has the faster and bigger the network is. # cryptocurrency # crypto # blockchain # bitcoin # Tangle # M2M # IoT # smartcity # smartmobility # smartworldpic.twitter.com/YdRIBFAiQI,,# # # # # # # # # # #, https://twitter.com/iotatokennews/status/964273331682861057
2018-02-15,5,4,Bitcoin ‘scam’ triggers police search across Europe http://for.tn/2o8SbtQ,,, https://twitter.com/FortuneMagazine/status/964273292558438400
2018-02-15,1,4,# Malaysia allowing public to decide on it's own on # Crypto. Just how it should be everywhere. # Blockchain # cryptocurrency # Bitcoin # Ethereum # Ripple # Litecoinhttps://twitter.com/LiveCoinWatch/status/964145074459303937 …,,# # # # # # # #, https://twitter.com/CryptoFloki/status/964273277043650562
2018-02-15,11,6,OSC Investor Alert: Bitcoin Multi-level Marketing Scheme >> https://goo.gl/7q7Jsk pic.twitter.com/64kTsev9JJ,,, https://twitter.com/OSC_News/status/964273234236633088
2018-02-15,2,2,The genius was not the bow or the arrow but the bow and the arrow. The same relates to bitcoin the unit of account and the blockchain.,,, https://twitter.com/BitcoinEdu/status/964273141995388929
2018-02-15,2,2,There are many # bitcoin projects but there is only 1 http://BitcoinProject.com . Own it today! # blockchain # fintech # crypto # cryptocurrency # bitcoinspic.twitter.com/6pItvV3lpG,,# # # # # #, https://twitter.com/NameWhiz/status/964273078380515328
2018-02-15,1,1,Where will bitcoin and blockchain be in 2027? Futurist Prisco weighs in https://cryptoinsider.com/content/category/news/blockchain-news/../../../will-bitcoin-blockchain-2027-futurist-prisco-weighs/index.html …,,, https://twitter.com/devnullius/status/964272879419437056
2018-02-15,23,75,Student: I can’t believe it’s increased by 1500% Lecturer: I’m sick of hearing about # bitcoin - nothing can increase by that much and still be a good investment Student: I was about the rise in university fees since the 90’s,,#, https://twitter.com/LukeMassie/status/964272873962602496
2018-02-15,0,7,All you need to do is # PayWithLitecoin # bcash is losing its relevancy,,# #, https://twitter.com/iGifted_/status/964272766768750592
2018-02-15,32,95,Consider that there are roughly $4 trillion of equity hedge funds – in a mature overvalued industry; versus just $4 billion of Crypto Hedge Funds in the world’s fastest growing asset class. Talk about an historic wealth transfer in the making led by # Bitcoin!,,#, https://twitter.com/Andy_Hoffman_CG/status/964272367324119040
2018-02-15,0,6,Bitcoin crossing back over $10000 after dropping to a 2018 low of $5900...NINE DAYS AGO. # cryptocurrency: where every day feels like a month. # HODLgang # LEGGO $ BTCpic.twitter.com/hcuq1QqwKy,,# # #, https://twitter.com/ShanghaiSix/status/964271886531096576
2018-02-15,2,24,Hi world. It's me. One woman's journey in the world of cryptocurrency begins with a gif a meme and a vlog. https://www.youtube.com/watch?v=WzABaoZEMTM&t=1s … $ BTC # Bitcoin # crypto # womenincryptopic.twitter.com/QUaPgEA8Kg,,# # #, https://twitter.com/crypto_sister/status/964271884987756550
2018-02-15,2,2,Do we have a real # Bitcoin rally this time around? Maybe. But you can always own the http://BitcoinRally.com forever! # blockchain # fintech # coin # cryptocurrency # crypto # domains # namespic.twitter.com/p4UiJ9kkX4,,# # # # # # # #, https://twitter.com/NameWhiz/status/964271001352724480
2018-02-15,1,6,Today’s episode of Kyle Torpey’s Daily Bitcoin Recap is now available! “02/15/18 A $115 Million Ponzi Scheme and a $50 Million Phishing Scam Brought to You By Bitcoin” YouTube here: https://www.youtube.com/watch?v=JGlUrjMjp0E … SoundCloud here: https://soundcloud.com/kyletorpey/021518-a-115-million-ponzi-scheme-and-a-50-million-phishing-scam-brought-to-you-by-bitcoin …pic.twitter.com/tKY1o8tnH7,,, https://twitter.com/kyletorpey/status/9642709162334617622018-02-15,3,19,REALIST NEWS - Creeping up to $13k Bitcoin (web bot prediction) - Could happen within a week or so: http://youtu.be/zozxkiMNrTs?a via,,, https://twitter.com/RealistNews/status/964288191816781824
2018-02-15,2,0,Bitcoin Feeling is out! https://paper.li/BitcoinFeeling/1412697551?edition_id=43733a20-12ac-11e8-8d52-0cc47a0d15fd … # Bitcoin Stories via @ JovitaWathen3 @ MistSpark @srurchr53 # bitcoin # cybersecurity,@ @ @srurchr53,# # #, https://twitter.com/BitcoinFeeling/status/964288097050611712
2018-02-15,9,13,Interested in buying # bitcoin? Learn more about $ BTC # blockchain technology and how the # crypto market works on our blog:http://bit.ly/2EGwfAH,,# # #, https://twitter.com/UpholdInc/status/964288074275368960
2018-02-15,5578,19266,If you want to know what bitcoin is I learned about it. A bit. pic.twitter.com/txICiTXYgi,,, https://twitter.com/TheEllenShow/status/964287117466640389
2018-02-15,0,9,Bitcoin (BTC) - Analysis UPDATE https://steemit.com/bitcoin/@benkalashnikov/bitcoin-btc-analysis-update … $ btc # btc # bitcoin # crypto # cryptocurrency # altcoins # xvg # tron # etc,@benkalashnikov,# # # # # # # #, https://twitter.com/BenKalashnikov/status/964286799324557312
2018-02-15,23,69,Lightning is enabling all sorts of new innovations. It’s clear we’ve begun a new era in Bitcoin. https://twitter.com/alexbosworth/status/964276161902624768 …,,, https://twitter.com/WayneVaughan/status/964286648337903616
2018-02-15,1,9,once bitcoin is the new standard currency rappers gon tryna rhyme wit cryptography n multi-coin transaction. shit will be brazy,,, https://twitter.com/bxbyro/status/964286612657106946
2018-02-15,37,187,Updated DG Spreadsheet 2-15-2018. (HTML updated) # crypto # cryptos # cryptosignals # cryptonews # cryptomamba # HODL # HODLgang # bitcoin $ LTC $ ETH https://www.patreon.com/posts/updated-dg-2-15-17023677?utm_medium=social&utm_source=twitter&utm_campaign=postshare …,,# # # # # # # #, https://twitter.com/davidgokhshtein/status/964285792460988416
