date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2016-01-07 21:10:54,bkcronin,,0,2,4,"What does Bitcoin have to do with leasing office space? https://www.linkedin.com/pulse/what-does-bitcoin-have-do-leasing-office-space-kevin-cronin #CRE #officespace",,,#CRE #officespace,685207001622691840,https://twitter.com/bkcronin/status/685207001622691840
2016-01-07 21:09:20,Bitcoin_ladyfox,,0,2,2,"Notre Dame De Paris #TheHunchbackofnoredame in the making. A new adventure of creativity begins",,,#TheHunchbackofnoredame,685206607446192129,https://twitter.com/Bitcoin_ladyfox/status/685206607446192129
2016-01-07 21:09:07,BTCTN,,1,4,6,"Why Bitcoin Should Catch the Virtual Reality Gaming Wave https://news.bitcoin.com/why-bitcoin-catch-virtual-reality-gaming-wave/?utm_source=dlvr.it&amp;utm_medium=twitter",,,,685206552173613056,https://twitter.com/BTCTN/status/685206552173613056
2016-01-07 21:07:06,Coinboard,,0,2,4,"This Time Bitcoin's Price Increase is Both Logical and Sustainable - Nasdaq http://dlvr.it/DCdGdK",,,,685206044675448832,https://twitter.com/Coinboard/status/685206044675448832
2016-01-07 21:04:20,kyletorpey,,1,6,5,".@InsideBitcoins has been sold. Seems most of my pieces will be found on @BitcoinMagazine, @CoinJournal, and @coingecko for now. #Bitcoin",,@InsideBitcoins @BitcoinMagazine @CoinJournal @coingecko,#Bitcoin #Bitcoin,685205350711177216,https://twitter.com/kyletorpey/status/685205350711177216
2016-01-07 21:02:23,BitcoinMagazine,,1,26,24,"Course at @Stanford Applies Hands-On Approach with @21 #Bitcoin Computer by Andrew @DeSantis http://btcm.ag/21 pic.twitter.com/8VSlmqM8BT",,@Stanford @desantis,#Bitcoin #Bitcoin,685204858534629376,https://twitter.com/BitcoinMagazine/status/685204858534629376
2016-01-07 20:57:17,TheBitcoinNews,,0,1,2,"US Police Officer Charged with Receiving Stolen Bitcoin Miners - http://bit.ly/1HPNw4s - #bitcoin #breaking",,,#bitcoin #bitcoin #breaking,685203576864522240,https://twitter.com/TheBitcoinNews/status/685203576864522240
2016-01-07 20:51:45,travelwithdayo,,0,3,5,"Stanford University Offers Course On Building Bitcoin-Enabled Applications - CCN: #bitcoin #fintech https://www.cryptocoinsnews.com/stanford-university-offers-course-building-bitcoin-enabled-applications/",,,#bitcoin #bitcoin #fintech,685202180975017988,https://twitter.com/travelwithdayo/status/685202180975017988
2016-01-07 20:50:06,substitute,,1,0,6,"The guy who hauled our junk away said he wished he could be paid in bitcoin and then evangelized my brother for 15 mins",,,,685201769752739840,https://twitter.com/substitute/status/685201769752739840
2016-01-07 20:49:35,ErolKazan,,0,6,10,"What Are People Building With @21dotco's #Bitcoin Computer? ""Managing work with a 'Mechanical Turk"" http://www.coindesk.com/what-people-building-21-inc-bitcoin-computer/ #fintech",,@21dotco,#Bitcoin #Bitcoin #fintech,685201637061849088,https://twitter.com/ErolKazan/status/685201637061849088
2016-01-07 20:49:13,TheDailyDecrypt,,0,7,4,"[VIDEO] 15 Charts That Show How Bitcoin Performed in 2015: https://www.youtube.com/watch?v=wFho22fjOtA Special thanks to @BTCTN forums &amp; @TexorionBtc.",,@BTCTN,,685201545479241729,https://twitter.com/TheDailyDecrypt/status/685201545479241729
2016-01-07 20:48:41,LeonardNevarez,,0,0,0,"For real, my former student has been living on Bitcoin for three years http://onforb.es/1JZdIYJ though I'm not the professor mentioned here.",,,,685201412272328705,https://twitter.com/LeonardNevarez/status/685201412272328705
2016-01-07 20:45:57,CoinDesk,,1,20,5,"Bitcoin Exchange BTC-e Back Online After Reported DDoS http://coinde.sk/1SCQXkl",,,,685200725228548096,https://twitter.com/CoinDesk/status/685200725228548096
2016-01-07 20:45:36,marcel_dmg,,0,3,8,"Social signals and algorithmic trading of Bitcoin http://rsos.royalsocietypublishing.org/content/2/9/150288 #Trading #Bitcoin",,,#Trading #Bitcoin #Bitcoin,685200634019246082,https://twitter.com/marcel_dmg/status/685200634019246082
2016-01-07 20:45:25,robertjcho,,0,1,4,"Amazing holiday gift from @TradeBlock. Flipping the pocket square game upside down. #bitcoin #blockchain #xbx",,@TradeBlock,#bitcoin #bitcoin #blockchain #xbx,685200587147849729,https://twitter.com/robertjcho/status/685200587147849729
2016-01-07 20:41:30,SokoAnalyst,,0,2,2,"Bitcoin trading firm partners with Airtel after cutting Safaricom links http://bit.ly/1RgZ8nu",,,,685199604200116224,https://twitter.com/SokoAnalyst/status/685199604200116224
2016-01-07 20:40:06,CCNMarkets,,0,8,3,"CSU : Financial Constraints to Combat Terrorism Includes Call for Bitcoin https://www.cryptocoinsnews.com/csu-financial-constraints-to-combat-terrorism-includes-bitcoin-framework-proposal/ #cryptocurrency",,,#cryptocurrency,685199252801339393,https://twitter.com/CCNMarkets/status/685199252801339393
2016-01-07 20:37:12,thatssixzs,,0,2,0,"Accept Bitcoin and other crypto in your online store with CoinPayments http://buff.ly/1mIYHVE #bitcoin #altcoins #CoinPayments",,,#bitcoin #bitcoin #altcoins #CoinPayments,685198522287833088,https://twitter.com/thatssixzs/status/685198522287833088
2016-01-07 20:36:36,Lucas_Wyrsch,,0,2,1,"This Man Has Been Living On Bitcoin For 3 Years http://dlvr.it/DCcl6x",,,,685198370839740416,https://twitter.com/Lucas_Wyrsch/status/685198370839740416
2016-01-07 20:36:21,Coinboard,,0,1,2,"Stanford University Offers Course On Building Bitcoin-Enabled Applications - CryptoCoinsNews http://dlvr.it/DCcntf",,,,685198309271588864,https://twitter.com/Coinboard/status/685198309271588864
2016-01-07 20:34:09,cherapple,PurseIO,0,1,3,"I use #Bitcoin to save my soul and my sanity. ",,,#Bitcoin #Bitcoin,685197752180064256,https://twitter.com/cherapple/status/685197752180064256
